Former President Name,Term of Office
Shri Ram Nath Kovind (birth - 1945),"25 July, 2017 to 25 July, 2022 "
Shri Pranab Mukherjee (1935-2020),"25 July, 2012 to 25 July, 2017 "
Smt Pratibha Devisingh Patil (birth - 1934),"25 July, 2007 to 25 July, 2012 "
DR. A.P.J. Abdul Kalam (1931-2015),"25 July, 2002 to 25 July, 2007 "
Shri K. R. Narayanan (1920 - 2005),"25 July, 1997 to 25 July, 2002 "
Dr Shankar Dayal Sharma (1918-1999),"25 July, 1992 to 25 July, 1997 "
Shri R Venkataraman (1910-2009),"25 July, 1987 to 25 July, 1992 "
Giani Zail Singh (1916-1994),"25 July, 1982 to 25 July, 1987 "
Shri Neelam Sanjiva Reddy (1913-1996),"25 July, 1977 to 25 July, 1982 "
Dr. Fakhruddin Ali Ahmed (1905-1977),"24 August, 1974 to 11 February, 1977"
Shri Varahagiri Venkata Giri (1894-1980),"3 May, 1969 to 20 July, 1969 and 24 August, 1969 to 24 August, 1974"
Dr. Zakir Husain (1897-1969),"13 May, 1967 to 3 May, 1969"
Dr. Sarvepalli Radhakrishnan (1888-1975),"13 May, 1962 to 13 May, 1967"
Dr. Rajendra Prasad (1884-1963) ,"26 January, 1950 to 13 May, 1962"
